Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,823110541434.921,963862340514.091,1184661549862.35,1404113530791.23,1637573196525.36,2078115659876.48,1795819607113.11,2109550811385.89,2501304511876.72,2786139307967.37,2866038091981.47,2906918403546.86,2554479933648.44,2500164034395.78,2591047461124.41
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.30843230096585,9.3312441958789,5.7224550587823,6.4841006928001,4.53516099710345,5.78012996946957,0.464939029964626,4.74892497911385,3.60923791375065,6.69522590857115,3.13432913713648,2.45362886423372,3.27754176670597,3.00469468291831,1.19224595291712
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.07717067400726,6.95214531035498,3.34813155906039,4.01465743611564,2.05126727012168,3.23646549934595,-1.93586806533233,2.29148140458959,1.22782550956477,4.29123714892856,0.866009637832292,0.262691673462825,1.13528366576823,0.939867799846496,-0.770408386945419
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,39421593800.2337,43139861259.3286,48786092029.7599,54618160956.421,60670805979.8119,68875542818.2652,58049437076.4319,63131259584.2842,68378335169.7987,70576655404.2623,71378769877.4924,72525038827.606,70918077436.8624,67787681466.0811,69331419650.596
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.75058848963008,4.07442335356349,3.70818436268814,6.67221131990094,3.1599030147611,1.2966285455863,-3.49916471441578,1.41361418931987,1.0500315153742,1.35876793257886,0.985441792981163,0.58430240034177,1.20995892395857,-1.88966626744872,0.0290127514895602
Caribbean small states,CSS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.0136309251527,3.36012134959063,3.00944306044204,5.96847453028857,2.49162126242759,0.648859221184267,-4.11407206057092,0.76654498014743,0.404170154311487,0.712470707134585,0.350510131012044,-0.0306472834864735,0.616194228674601,-2.4383983809919,-0.50409674862648
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,634787658548.013,762873141595.66,886290450379.885,1002435558361.94,1265875311783.39,1529583538570.5,1286223012130.48,1312703359581.13,1446066158638.56,1351505878828.8,1422649884075.1,1463900229119.28,1286222588314.92,1313066988021.63,1450746635299.76
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.4436423622987,5.58252184993337,4.92968444293147,6.56591167967102,6.38868758939464,3.75897444956368,-3.5066085685942,1.71252540735551,3.21054415438975,0.639478862580958,1.34586208823816,2.97374969333487,3.8051155056466,3.06446737714788,4.58248874846461
Central Europe and the Baltics,CEB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.77314129153461,5.87472844482906,5.21860885809153,6.84006541725755,6.78880380560989,4.13190363807527,-3.32055109098496,2.08278970936613,3.57688725839959,0.870628936072563,1.56239497291979,3.19019855686766,4.04480740131629,3.32805472022048,4.85455647286734
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,3515496799520.47,4083949567318.64,4759860440591.09,5448300405314.26,6467163518438.63,7290184875668.88,7013314632310.13,8518642497658.44,9572388908628.66,10033183020177.6,10200899854046.7,10551908247850.4,10227418599351.6,10437433411218.3,11249356756765.5
