1_2,0.662,-1.01448,28741.54607,45492,4
1_11,0.717,-1.3023,22598.61869,35769,0
1_7,0.715,-1.25519,31056.43715,49156,1
1_8,0.694,-1.09728,5334.23181,8443,0
1_5,0.723,-1.2965,62920.30628,99590,3
1_9,0.675,-1.03717,12426.1129,19668,1
1_1,0.789,-1.55848,503545.6703,797010,34
1_6,0.74,-1.34386,26448.13597,41862,5
1_10,0.661,-0.88536,11895.40643,18828,4
1_3,0.67,-1.10194,34202.76836,54136,5
1_4,0.7,-1.13314,9503.43656,15042,1
2_5,0.744,-1.09396,67691.32826,90668,0
2_3,0.776,-1.23352,75464.02004,101079,4
2_4,0.762,-1.3456,1164435.236,1559683,38
2_2,0.781,-1.54794,699419.8205,936826,27
2_1,0.745,-1.06177,348516.1216,466814,11
3_8,0.794,-1.02903,205881.8947,238487,38
3_9,0.734,-0.83279,14449.63941,16738,0
3_3,0.816,-1.46272,217436.0813,251871,35
3_1,0.737,-1.03934,61134.28513,70816,11
3_2,0.715,-0.79084,51032.14148,59114,0
4_7,0.686,-0.33717,8056.517132,8352,0
4_2,0.797,-1.38408,249841.7409,259005,38
4_10,0.589,0.5373,25930.9499,26882,1
4_3,0.775,-1.06758,213271.9826,221094,37
4_4,0.679,-0.49785,80083.82529,83021,20
4_11,0.63,0.43105,39736.61,41194,1
4_1,0.731,-0.44508,51018.82078,52890,7
4_8,0.706,-0.27312,9391.553017,9736,0
4_9,0.67,-0.50073,52267.04074,54184,10
4_6,0.647,-0.05239,36440.49901,37777,3
4_5,0.736,-0.34684,27304.57064,28306,2
5_35,0.795,-1.57751,542213.1243,639629,6
5_22,0.734,-1.35598,23674.54905,27928,0
5_20,0.735,-1.32987,56655.1422,66834,2
5_10,0.767,-1.56139,63759.71094,75215,5
5_26,0.687,-0.9712,2944.060042,3473,0
5_9,0.719,-1.21376,47196.51221,55676,5
5_33,0.713,-1.0525,87016.34418,102650,0
5_12,0.652,-0.76852,1772.539461,2091,0
5_17,0.706,-1.18355,90839.46851,107160,2
5_1,0.711,-1.17277,907.0383661,1070,0
5_38,0.708,-1.14666,10767.47787,12702,4
5_16,0.726,-1.34278,1555.528413,1835,0
5_31,0.781,-1.56987,18775.69418,22149,4
5_29,0.714,-1.21123,1961.576429,2314,0
5_13,0.687,-0.85719,1569.939303,1852,0
5_36,0.669,-0.71903,18072.10367,21319,2
5_21,0.744,-1.28995,5370.175747,6335,0
5_25,0.777,-1.51936,129533.5557,152806,12
5_11,0.674,-0.71811,9902.824479,11682,0
5_8,0.687,-0.98117,2459.175981,2901,0
5_24,0.737,-1.14271,38486.4008,45401,0
5_6,0.76,-1.33822,21948.63306,25892,0
5_23,0.688,-0.56107,9317.064188,10991,0
5_19,0.755,-1.46978,6957.069038,8207,0
5_28,0.769,-1.58033,51579.96585,60847,3
5_2,0.753,-1.36712,115927.1325,136755,11
5_3,0.773,-1.50702,19221.58407,22675,0
5_5,0.657,-0.99386,1532.640529,1808,0
5_4,0.669,-0.8739,19110.53544,22544,2
5_15,0.671,-1.03923,1355.471353,1599,0
5_37,0.709,-1.21063,5331.181574,6289,0
