,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,y
0,0.407687028,0.05536604,0.788534877,0.287305185,0.450350587,0.303912305,0.526399524,0.623812213,0.776775458,0.686241645,0.980938863,0.600816092,0.81396852,0.708645152,0.02753468,0.904267217,0.449904851,0.118924654,0.835300176,0.202248226,0.174202671,0.44914708,0.669794781,0.957399109,0.833333251,0.508309965,0.630023548,0.835034686,0.447331645,0.762290474,0.636922242,0.362295894,0.014574549,0.541984891,0.318155481,0.144990347,0.548891947,0.187481273,0.398981476,0.240038207,0.036654853,0.568544757,0.922764799,0.179055106,0.703077668,0.720012795,0.031064019,0.582825307,0.697677596,0.909853468,0.966697993,11.48693855
1,0.243871524,0.690302963,0.42798028,0.442505495,0.808140265,0.249308864,0.419414662,0.085728979,0.3637184,0.114689953,0.267618763,0.71967453,0.556420359,0.445173951,0.971671728,0.006850469,0.650063617,0.806865127,0.266489312,0.125249573,0.61815815,0.472105436,0.344929017,0.734319715,0.518574768,0.720827197,0.284354933,0.291017067,0.624637491,0.383162213,0.159233398,0.141287852,0.876492142,0.340114254,0.109545639,0.326247807,0.43403423,0.802557544,0.390505623,0.639732012,0.538607052,0.512303292,0.681030267,0.812635932,0.19795861,0.401176723,0.280035913,0.955035464,0.020087142,0.573851862,0.565328361,19.3290322
2,0.929033348,0.943816317,0.749702641,0.574538807,0.847911678,0.794531017,0.279293816,0.865904819,0.627173241,0.875264394,0.398758099,0.973917636,0.035407913,0.690239914,0.184368173,0.711658976,0.714164237,0.549766139,0.794816596,0.572318889,0.123176245,0.215938591,0.966965044,0.861905815,0.265950527,0.420438897,0.691103968,0.131519994,0.809960055,0.579824138,0.172678862,0.363792843,0.511477612,0.670966366,0.740256419,0.843811108,0.313782644,0.265618259,0.880693262,0.240668503,0.561401877,0.634746625,0.88943092,0.514991276,0.98919521,0.755715453,0.241511287,0.259880505,0.333598748,0.00749343,0.318139212,8.864689857
3,0.882009944,0.917838301,0.787308398,0.509570371,0.952194188,0.545928419,0.532239374,0.429795849,0.291410185,0.698551964,0.207580669,0.298366965,0.988690119,0.752065027,0.329655543,0.656749859,0.372772641,0.251323055,0.061941503,0.274944062,0.377900804,0.158700474,0.269810326,0.492445673,0.450276531,0.836268732,0.983262068,0.368625784,0.08743865,0.830416569,0.157278098,0.306165007,0.647963662,0.371137561,0.737750104,0.868040303,0.99838579,0.811044859,0.753737929,0.013069379,0.753796816,0.505121442,0.393791609,0.81395524,0.656961635,0.370741178,0.23706621,0.412719029,0.825276526,0.425848729,0.793151264,4.869425799
4,0.176663034,0.057322051,0.012767506,0.66452305,0.703592727,0.254585257,0.117212328,0.281085369,0.587718178,0.176264112,0.869639741,0.86104755,0.871144992,0.542559088,0.376210251,0.652053656,0.154490657,0.340197228,0.558813367,0.235271792,0.720217749,0.626448834,0.166394385,0.429899808,0.447384883,0.714289422,0.82896121,0.766340241,0.606554691,0.860788908,0.478753765,0.590540433,0.827575805,0.274654714,0.571772216,0.485985866,0.296314514,0.786649158,0.536705231,0.547766878,0.318428663,0.867619284,0.178170473,0.506201033,0.563407169,0.393425142,0.673965494,0.151010087,0.700913262,0.591025467,0.92766349,34.65766466
5,0.879881779,0.250177238,0.390498041,0.535867967,0.854812691,0.41460112,0.330492252,0.523809331,0.059416397,0.327864338,0.422115939,0.799312745,0.080473107,0.075846069,0.679412428,0.005620857,0.170696972,0.257691835,0.275174584,0.492247028,0.816150219,0.27604838,0.831218576,0.501555342,0.370925541,0.916567727,0.271743604,0.011998789,0.058130397,0.438997046,0.154484181,0.819892413,0.627046338,0.19996868,0.338560658,0.994608585,0.181735079,0.060070095,0.815785222,0.550898492,0.293274631,0.222490776,0.175878411,0.339999911,0.255133192,0.901643912,0.62819378,0.656539579,0.459053311,0.420944355,0.214123666,11.98149864
6,0.925516902,0.497738917,0.411254945,0.94831523,0.373293997,0.590020179,0.738894438,0.589426569,0.814330261,0.863707805,0.585964874,0.2124512,0.513266497,0.667761971,0.397206078,0.886184924,0.717801698,0.64512305,0.921069556,0.766351727,0.923216711,0.625744909,0.521440884,0.455831685,0.833317048,0.003577583,0.65866184,0.485993496,0.719288665,0.29702381,0.872418185,0.197308714,0.44599957,0.080777708,0.278183306,0.625428229,0.457774749,0.764334811,0.137180747,0.442914926,0.612805139,0.008856707,0.65274956,0.348914822,0.595932455,0.224312297,0.556413016,0.448594118,0.470361284,0.701302796,0.963663588,11.75523492
7,0.705163225,0.535281965,0.533942235,0.229256591,0.819644079,0.695539074,0.393085442,0.41914827,0.895790745,0.387410402,0.383937037,0.27933297,0.552346688,0.596695347,0.080706773,0.685683572,0.612832415,0.590606995,0.680362598,0.238294411,0.694253516,0.421649804,0.832352671,0.274015507,0.0751618,0.75239055,0.300789939,0.139916638,0.865954353,0.52681241,0.290188902,0.696354542,0.464370539,0.68905637,0.925673022,0.227968077,0.698642696,0.852138513,0.012514972,0.36278497,0.12119134,0.738116957,0.500826307,0.667610746,0.473262571,0.991267497,0.438214971,0.50365474,0.235896045,0.917879988,0.862451504,24.43249429
8,0.881526884,0.070876726,0.087768885,0.234129153,0.673216357,0.370629366,0.956934615,0.451149587,0.784517136,0.398096109,0.581245296,0.055233708,0.338360388,0.266411452,0.425323279,0.138687769,0.155230408,0.167299291,0.758670656,0.74803269,0.784634512,0.77047921,0.870863394,0.714104283,0.167734117,0.62683767,0.57804683,0.315073349,0.509155275,0.33612386,0.188409288,0.670809998,0.036849385,0.424521941,0.603322383,0.831880514,0.28804306,0.590955907,0.679544932,0.22921477,0.514830975,0.072977607,0.961323445,0.090864067,0.912340584,0.283577551,0.260283542,0.281540854,0.869275924,0.539163194,0.882009462,24.18865585
9,0.793825862,0.435669146,0.25455366,0.002863719,0.927923055,0.03177853,0.091131311,0.008274743,0.41929021,0.915425971,0.359671582,0.470100256,0.412370018,0.212050101,0.06774495,0.43308136,0.73981453,0.166435106,0.98449071,0.39730417,0.707126533,0.75563341,0.401266971,0.00157865,0.183718207,0.194220093,0.796630835,0.92519672,0.528963885,0.023274749,0.207782654,0.796614865,0.081580095,0.177150468,0.495985809,0.415995362,0.32862003,0.820140902,0.785479383,0.676283708,0.747526794,0.385614806,0.644102823,0.280196497,0.536790819,0.283248791,0.878444575,0.364984429,0.618636464,0.857153748,0.705161459,10.25912529
